src,ext,size,predicted_dest,audio_group
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Fat Pat - Hoes frontin broke.wav,.wav,1168926,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/SUC - Screwed up click.wav,.wav,323842,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Homicyde - man im higher then a motherfucker.wav,.wav,313602,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,Kicks
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/2 Nes - hit you wit dis 33.wav,.wav,730190,/Users/camerondixon/Music/OrganizedLibrary/04 FX,FX
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Hard D - Count this sack.wav,.wav,654894,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/SUC - drop it cuz i got my nine.wav,.wav,1095590,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Juicy J - mutha mutha mutha fucka.wav,.wav,519930,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Evil Pimp - blaze until.wav,.wav,708142,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/SUC - Holdin on that woodgrain.wav,.wav,1134966,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,Hats/Shakers
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/2 Nes - Steady I creeo.wav,.wav,543554,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,Snares
